calDate	perNumber	start	stop
08/17/2015	0	07:30:00	08:30:00
08/17/2015	1	08:40:00	09:26:00
08/17/2015	2	09:33:00	10:19:00
08/17/2015	3	10:41:00	11:27:00
08/17/2015	4	11:34:00	12:25:00
08/17/2015	5	13:07:00	13:53:00
08/17/2015	6	14:00:00	14:46:00
08/17/2015	7	14:53:00	15:48:00
08/24/2015	0	07:30:00	08:30:00
08/24/2015	1	08:40:00	09:26:00
08/24/2015	2	09:33:00	10:19:00
08/24/2015	3	10:41:00	11:27:00
08/24/2015	4	11:34:00	12:25:00
08/24/2015	5	13:07:00	13:53:00
08/24/2015	6	14:00:00	14:46:00
08/24/2015	7	14:53:00	15:48:00
08/31/2015	0	07:30:00	08:30:00
08/31/2015	1	08:40:00	09:26:00
08/31/2015	2	09:33:00	10:19:00
08/31/2015	3	10:41:00	11:27:00
08/31/2015	4	11:34:00	12:25:00
08/31/2015	5	13:07:00	13:53:00
08/31/2015	6	14:00:00	14:46:00
08/31/2015	7	14:53:00	15:48:00
09/01/2015	0	06:28:00	07:33:00
09/01/2015	1	07:40:00	08:16:00
09/01/2015	2	08:23:00	09:02:00
09/01/2015	3	09:09:00	09:43:00
09/01/2015	4	10:05:00	10:39:00
09/01/2015	5	10:46:00	11:20:00
09/01/2015	6	11:27:00	12:01:00
09/14/2015	0	07:30:00	08:30:00
09/14/2015	1	08:40:00	09:26:00
09/14/2015	2	09:33:00	10:19:00
09/14/2015	3	10:41:00	11:27:00
09/14/2015	4	11:34:00	12:25:00
09/14/2015	5	13:07:00	13:53:00
09/14/2015	6	14:00:00	14:46:00
09/14/2015	7	14:53:00	15:48:00
09/21/2015	0	07:30:00	08:30:00
09/21/2015	1	08:40:00	09:26:00
09/21/2015	2	09:33:00	10:19:00
09/21/2015	3	10:41:00	11:27:00
09/21/2015	4	11:34:00	12:25:00
09/21/2015	5	13:07:00	13:53:00
09/21/2015	6	14:00:00	14:46:00
09/21/2015	7	14:53:00	15:48:00
09/28/2015	0	07:30:00	08:30:00
09/28/2015	1	08:40:00	09:26:00
09/28/2015	2	09:33:00	10:19:00
09/28/2015	3	10:41:00	11:27:00
09/28/2015	4	11:34:00	12:25:00
09/28/2015	5	13:07:00	13:53:00
09/28/2015	6	14:00:00	14:46:00
09/28/2015	7	14:53:00	15:48:00
10/05/2015	0	07:30:00	08:30:00
10/05/2015	1	08:40:00	09:26:00
10/05/2015	2	09:33:00	10:19:00
10/05/2015	3	10:41:00	11:27:00
10/05/2015	4	11:34:00	12:25:00
10/05/2015	5	13:07:00	13:53:00
10/05/2015	6	14:00:00	14:46:00
10/05/2015	7	14:53:00	15:48:00
10/12/2015	0	07:30:00	08:30:00
10/12/2015	1	08:40:00	09:26:00
10/12/2015	2	09:33:00	10:19:00
10/12/2015	3	10:41:00	11:27:00
10/12/2015	4	11:34:00	12:25:00
10/12/2015	5	13:07:00	13:53:00
10/12/2015	6	14:00:00	14:46:00
10/12/2015	7	14:53:00	15:48:00
10/19/2015	0	07:30:00	08:30:00
10/19/2015	1	08:40:00	09:26:00
10/19/2015	2	09:33:00	10:19:00
10/19/2015	3	10:41:00	11:27:00
10/19/2015	4	11:34:00	12:25:00
10/19/2015	5	13:07:00	13:53:00
10/19/2015	6	14:00:00	14:46:00
10/19/2015	7	14:53:00	15:48:00
10/26/2015	0	07:30:00	08:30:00
10/26/2015	1	08:40:00	09:26:00
10/26/2015	2	09:33:00	10:19:00
10/26/2015	3	10:41:00	11:27:00
10/26/2015	4	11:34:00	12:25:00
10/26/2015	5	13:07:00	13:53:00
10/26/2015	6	14:00:00	14:46:00
10/26/2015	7	14:53:00	15:48:00
11/02/2015	0	07:30:00	08:30:00
11/02/2015	1	08:40:00	09:26:00
11/02/2015	2	09:33:00	10:19:00
11/02/2015	3	10:41:00	11:27:00
11/02/2015	4	11:34:00	12:25:00
11/02/2015	5	13:07:00	13:53:00
11/02/2015	6	14:00:00	14:46:00
11/02/2015	7	14:53:00	15:48:00
11/30/2015	0	07:30:00	08:30:00
11/30/2015	1	08:40:00	09:26:00
11/30/2015	2	09:33:00	10:19:00
11/30/2015	3	10:41:00	11:27:00
11/30/2015	4	11:34:00	12:25:00
11/30/2015	5	13:07:00	13:53:00
11/30/2015	6	14:00:00	14:46:00
11/30/2015	7	14:53:00	15:48:00
12/07/2015	0	07:30:00	08:30:00
12/07/2015	1	08:40:00	09:26:00
12/07/2015	2	09:33:00	10:19:00
12/07/2015	3	10:41:00	11:27:00
12/07/2015	4	11:34:00	12:25:00
12/07/2015	5	13:07:00	13:53:00
12/07/2015	6	14:00:00	14:46:00
12/07/2015	7	14:53:00	15:48:00
12/16/2015	0	06:28:00	07:33:00
12/16/2015	1	07:40:00	09:43:00
12/16/2015	4	10:05:00	12:00:00
12/17/2015	0	06:28:00	07:33:00
12/17/2015	3	07:40:00	09:43:00
12/17/2015	5	10:05:00	12:00:00
12/18/2015	0	06:28:00	07:33:00
